main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::ENTER;input != null;daikon.inv.unary.scalar.NonZero;(input)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::ENTER;input.hotelIds != null;daikon.inv.unary.scalar.NonZero;(input.hotelIds)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::ENTER;input.checkInDate one of { "2022-09-20", "2022-09-21", "2022-09-22" };daikon.inv.unary.string.OneOfString;(input.checkInDate)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::ENTER;input.countryOfResidence one of { "CL", "GB", "NZ" };daikon.inv.unary.string.OneOfString;(input.countryOfResidence)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::ENTER;input.priceRange one of { "100", "15-10000", "300" };daikon.inv.unary.string.OneOfString;(input.priceRange)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::ENTER;input.paymentPolicy one of { "DEPOSIT", "GUARANTEE", "NONE" };daikon.inv.unary.string.OneOfString;(input.paymentPolicy)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::ENTER;input.boardType one of { "BREAKFAST", "ROOM_ONLY" };daikon.inv.unary.string.OneOfString;(input.boardType)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::ENTER;input.adults != size(input.hotelIds[])-1;daikon.inv.binary.twoScalar.IntNonEqual;(input.adults, size(input.hotelIds[..])-1)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::ENTER;input.roomQuantity != size(input.hotelIds[]);daikon.inv.binary.twoScalar.IntNonEqual;(input.roomQuantity, size(input.hotelIds[..]))
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::ENTER;input.roomQuantity >= size(input.hotelIds[])-1;daikon.inv.binary.twoScalar.IntGreaterEqual;(input.roomQuantity, size(input.hotelIds[..])-1)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT;input != null;daikon.inv.unary.scalar.NonZero;(input)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT;input.hotelIds != null;daikon.inv.unary.scalar.NonZero;(input.hotelIds)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT;input.checkInDate one of { "2022-09-20", "2022-09-21", "2022-09-22" };daikon.inv.unary.string.OneOfString;(input.checkInDate)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT;input.countryOfResidence one of { "CL", "GB", "NZ" };daikon.inv.unary.string.OneOfString;(input.countryOfResidence)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT;input.priceRange one of { "100", "15-10000", "300" };daikon.inv.unary.string.OneOfString;(input.priceRange)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT;input.paymentPolicy one of { "DEPOSIT", "GUARANTEE", "NONE" };daikon.inv.unary.string.OneOfString;(input.paymentPolicy)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT;input.boardType one of { "BREAKFAST", "ROOM_ONLY" };daikon.inv.unary.string.OneOfString;(input.boardType)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT;return != null;daikon.inv.unary.scalar.NonZero;(return)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT;return.pricingFrequency one of { "PER_NIGHT", "PER_STAY" };daikon.inv.unary.string.OneOfString;(return.pricingFrequency)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT;return.pricingMode one of { "PER_OCCUPANT", "PER_PRODUCT" };daikon.inv.unary.string.OneOfString;(return.pricingMode)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT;input.adults != size(input.hotelIds[])-1;daikon.inv.binary.twoScalar.IntNonEqual;(input.adults, size(input.hotelIds[..])-1)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT;input.roomQuantity != size(input.hotelIds[]);daikon.inv.binary.twoScalar.IntNonEqual;(input.roomQuantity, size(input.hotelIds[..]))
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT;input.roomQuantity >= size(input.hotelIds[])-1;daikon.inv.binary.twoScalar.IntGreaterEqual;(input.roomQuantity, size(input.hotelIds[..])-1)
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&variations&changes(main.getMultiHotelOffers&Input):::ENTER;input != null;daikon.inv.unary.scalar.NonZero;(input)
